species,decimallongitude,decimallatitude
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.39299774,41.6868782
Oryctolagus,-71.5059967,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.438676,41.571055
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.38931274,41.77645874
Oryctolagus,-71.44844818,41.56869888
Oryctolagus,-71.7185,41.315
Oryctolagus,-71.77999878,41.31999969
Oryctolagus,-71.71499634,41.34700012
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.530897,41.378886
Oryctolagus,-71.449309,41.473251
Oryctolagus,-71.3612,41.479
Oryctolagus,-71.39561666,41.43578332
Oryctolagus,-71.37000275,41.65999985
Oryctolagus,-71.40000153,41.54000092
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.447411,41.481464
Oryctolagus,-71.7232,41.3315
Oryctolagus,-71.7185,41.315
Oryctolagus,-71.40000153,41.61000061
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.43173218,41.43783634
Oryctolagus,-71.45163415,41.5673302
Oryctolagus,-71.44844818,41.56869888
Oryctolagus,-71.71499634,41.34700012
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.41667,41.41667
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.49430084,41.39179993
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.44850159,41.68643188
Oryctolagus,-71.40931702,41.6207428
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.40000153,41.59999847
Oryctolagus,-71.43865,41.38173332
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.44850159,41.68643188
Oryctolagus,-71.40666962,41.61199951
Oryctolagus,-71.44850159,41.68643188
Oryctolagus,-71.44850159,41.68643188
Oryctolagus,-71.44000244,41.65000153
Oryctolagus,-71.55,41.3333
Oryctolagus,-71.37269,41.3809
Oryctolagus,-71.3719,41.3591
Oryctolagus,-71.36667,41.4
Oryctolagus,-71.4833,41.3333
Oryctolagus,-71.4794,41.3302
Oryctolagus,-71.475556,41.383611
Oryctolagus,-71.487222,41.37
Oryctolagus,-71.668056,41.363056
Oryctolagus,-71.54443,41.37349
Oryctolagus,-71.485278,41.401111
Oryctolagus,-71.480833,41.383333
Oryctolagus,-71.55097,41.32482
Oryctolagus,-71.5425,41.33648
Oryctolagus,-71.52377,41.3303
Oryctolagus,-71.55549,41.34295
Oryctolagus,-71.54343,41.33757
Oryctolagus,-71.5027,41.32493
Oryctolagus,-71.49804,41.33374
Oryctolagus,-71.4961,41.3498
Oryctolagus,-71.6528,41.3502
Oryctolagus,-71.5,41.33
Oryctolagus,-71.41667,41.41667
Oryctolagus,-71.41667,41.41667
Oryctolagus,-71.37466,41.38692
Oryctolagus,-71.37044,41.33224
Oryctolagus,-71.43333,41.4
Oryctolagus,-71.36667,41.41667
Oryctolagus,-71.524167,41.376944
Oryctolagus,-71.738889,41.341944
Oryctolagus,-71.547222,41.3775
Oryctolagus,-71.618611,41.351111
Oryctolagus,-71.6975,41.348611
Oryctolagus,-71.7505,41.3275
Oryctolagus,-71.50333,41.34609
Oryctolagus,-71.50017,41.34624
Oryctolagus,-71.52933,41.33458
Oryctolagus,-71.45239,41.3345
Oryctolagus,-71.41685,41.33057
Oryctolagus,-71.4926,41.33988
